ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_000772	0.44	-1.19	NaN	NaN	NaN	NaN	0.1	-3.28	Homo sapiens cytochrome P450, family 2, subfamily C, polypeptide 18 (CYP2C18), mRNA.	ILMN_4940	CYP2C18	
NM_199336	0.35	-1.51	0.7	-0.52	0.51	-0.97	0.43	-1.22	Homo sapiens hypothetical protein DKFZp434N062 (DKFZp434N062), mRNA.	ILMN_4943	DKFZp434N062	
NM_018257	0.45	-1.16	0.54	-0.9	1.04	0.06	0.81	-0.3	Homo sapiens protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 (PCMTD2), mRNA.	ILMN_4945	PCMTD2	
NM_003100	0.58	-0.79	0.59	-0.77	0.93	-0.1	0.81	-0.3	Homo sapiens sorting nexin 2 (SNX2), mRNA.	ILMN_4948	SNX2	
NM_015999	0.98	-0.03	0.84	-0.25	1.17	0.22	1.08	0.11	Homo sapiens adiponectin receptor 1 (ADIPOR1), mRNA.	ILMN_4949	ADIPOR1	
NM_012486	2.57	1.36	2.45	1.29	0.72	-0.48	0.88	-0.18	Homo sapiens presenilin 2 (Alzheimer disease 4) (PSEN2), transcript variant 2, mRNA.	ILMN_4951	PSEN2	
NM_001769	1.65	0.72	1.87	0.9	2.64	1.4	2.14	1.1	Homo sapiens CD9 antigen (p24) (CD9), mRNA.	ILMN_4953	CD9	
NM_014584	1.37	0.45	1.12	0.16	1.63	0.7	1.17	0.22	Homo sapiens ERO1-like (S. cerevisiae) (ERO1L), mRNA.	ILMN_4958	ERO1L	
NM_022437	NaN	NaN	NaN	NaN	0.1	-3.36	NaN	NaN	Homo sapiens ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2) (ABCG8), mRNA.	ILMN_4968	ABCG8	
NM_004704	1.6	0.68	1.85	0.89	0.61	-0.71	0.65	-0.61	Homo sapiens RNA, U3 small nucleolar interacting protein 2 (RNU3IP2), mRNA.	ILMN_4970	RNU3IP2	
NM_152624	1.04	0.06	0.9	-0.15	1.06	0.09	1.12	0.16	Homo sapiens DCP2 decapping enzyme homolog (S. cerevisiae) (DCP2), mRNA.	ILMN_4971	DCP2	
NM_003922	0.51	-0.97	0.58	-0.79	0.85	-0.23	0.86	-0.22	Homo sapiens hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1 (HERC1), mRNA.	ILMN_4972	HERC1	
NM_016252	0.73	-0.45	0.73	-0.46	0.84	-0.25	0.92	-0.13	Homo sapiens baculoviral IAP repeat-containing 6 (apollon) (BIRC6), mRNA.	ILMN_4977	BIRC6	
NM_006265	1.07	0.09	0.88	-0.19	1.25	0.33	0.96	-0.06	Homo sapiens RAD21 homolog (S. pombe) (RAD21), mRNA.	ILMN_4979	RAD21	
NM_000969	1.11	0.15	1.1	0.13	1.04	0.05	1.03	0.05	Homo sapiens ribosomal protein L5 (RPL5), mRNA.	ILMN_4986	RPL5	
NM_001091	0.7	-0.52	0.8	-0.33	0.37	-1.45	0.46	-1.12	Homo sapiens amiloride binding protein 1 (amine oxidase (copper-containing)) (ABP1), mRNA.	ILMN_4987	ABP1	
NM_017622	0.76	-0.39	0.77	-0.37	0.83	-0.26	0.76	-0.39	Homo sapiens chromosome 17 open reading frame 59 (C17orf59), mRNA.	ILMN_4989	C17orf59	
NM_017864	0.74	-0.44	0.92	-0.12	0.9	-0.15	1.1	0.13	Homo sapiens chromosome 8 open reading frame 52 (C8orf52), mRNA.	ILMN_4992	C8orf52	
NM_018208	0.25	-1.97	0.66	-0.59	1	0	1.35	0.43	Homo sapiens ethanolamine kinase 2 (ETNK2), mRNA.	ILMN_4993	ETNK2	
NM_006303	1.26	0.34	1.35	0.43	1.22	0.29	1.19	0.25	Homo sapiens JTV1 gene (JTV1), mRNA.	ILMN_4997	JTV1	
NM_018225	1.71	0.77	1.66	0.73	1.39	0.48	1.48	0.57	Homo sapiens smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans) (SMU1), mRNA.	ILMN_5002	SMU1	
NM_024956	1.39	0.48	1.55	0.63	0.67	-0.58	0.64	-0.64	Homo sapiens transmembrane protein 62 (TMEM62), mRNA.	ILMN_5004	TMEM62	
NM_004761	0.57	-0.8	0.53	-0.92	1.51	0.59	1.5	0.59	Homo sapiens ral guanine nucleotide dissociation stimulator-like 2 (RGL2), mRNA.	ILMN_5005	RGL2	
NM_017583	1.57	0.65	1.21	0.28	1.18	0.24	1.24	0.31	Homo sapiens tripartite motif-containing 44 (TRIM44), mRNA.	ILMN_5006	TRIM44	
NM_030627	1.44	0.52	1.37	0.45	1.36	0.45	1.65	0.72	Homo sapiens cytoplasmic polyadenylation element binding protein 4 (CPEB4), mRNA.	ILMN_5007	CPEB4	
NM_144650	0.47	-1.09	0.9	-0.15	NaN	NaN	NaN	NaN	Homo sapiens alcohol dehydrogenase, iron containing, 1 (ADHFE1), mRNA.	ILMN_5010	ADHFE1	
NM_020899	0.54	-0.88	0.6	-0.75	1.27	0.35	1.25	0.32	Homo sapiens zinc finger and BTB domain containing 4 (ZBTB4), mRNA.	ILMN_5011	ZBTB4	
NM_022917	1.59	0.67	1.71	0.77	NaN	NaN	NaN	NaN	Homo sapiens nucleolar protein family 6 (RNA-associated) (NOL6), transcript variant alpha, mRNA.	ILMN_5016	NOL6	
NM_005805	1.07	0.1	1.01	0.01	0.87	-0.2	0.99	-0.02	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 (PSMD14), mRNA.	ILMN_5019	PSMD14	
NM_019108	NaN	NaN	1.05	0.07	0.95	-0.08	1.02	0.04	Homo sapiens hypothetical protein FLJ12886 (FLJ12886), mRNA.	ILMN_5022	FLJ12886	
NM_000071	0.17	-2.59	0.47	-1.09	0.89	-0.16	0.67	-0.58	Homo sapiens cystathionine-beta-synthase (CBS), mRNA.	ILMN_5029	CBS	
NM_003639	1.3	0.38	1.04	0.06	1.14	0.19	1.14	0.19	Homo sapiens inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma (IKBKG), mRNA.	ILMN_5030	IKBKG	
NM_002094	1.44	0.53	1.36	0.45	1.05	0.07	1.15	0.21	Homo sapiens G1 to S phase transition 1 (GSPT1), mRNA.	ILMN_5039	GSPT1	
NM_134447	2.42	1.28	0.75	-0.41	1	0	1.09	0.13	Homo sapiens chromosome 19 open reading frame 2 (C19orf2), transcript variant 2, mRNA.	ILMN_5049	C19orf2	
NM_144710	1.41	0.5	1.22	0.28	1.94	0.96	2.17	1.12	Homo sapiens septin 10 (SEPT10), transcript variant 1, mRNA.	ILMN_5056	SEPT10	
NM_015589	3.59	1.85	4.41	2.14	1.98	0.98	1.45	0.54	Homo sapiens sterile alpha motif domain containing 4A (SAMD4A), mRNA.	ILMN_5064	SAMD4A	
NM_001565	65.79	6.04	70.53	6.14	3.87	1.95	3.59	1.84	Homo sapiens chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA.	ILMN_5066	CXCL10	
NM_002474	0.74	-0.43	1.52	0.61	0.73	-0.46	0.46	-1.13	Homo sapiens myosin, heavy polypeptide 11, smooth muscle (MYH11), transcript variant SM1, mRNA.	ILMN_5070	MYH11	
NM_003901	NaN	NaN	NaN	NaN	0.88	-0.18	NaN	NaN	Homo sapiens sphingosine-1-phosphate lyase 1 (SGPL1), mRNA.	ILMN_5084	SGPL1	
NM_002455	0.79	-0.35	0.71	-0.49	0.96	-0.05	0.87	-0.2	Homo sapiens metaxin 1 (MTX1), transcript variant 1, mRNA.	ILMN_5088	MTX1	
NM_002027	0.99	-0.02	0.83	-0.27	1.08	0.11	1.05	0.07	Homo sapiens farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.	ILMN_5092	FNTA	
NM_032196	1.31	0.39	1.41	0.5	0.99	-0.02	1.07	0.09	Homo sapiens INO80 complex homolog 1 (S. cerevisiae) (INOC1), transcript variant 2, mRNA.	ILMN_5093	INOC1	
NM_005808	0.2	-2.32	0.19	-2.37	0.78	-0.37	0.74	-0.44	Homo sapiens CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like (CTDSPL), transcript variant 2, mRNA.	ILMN_510	CTDSPL	
NM_016492	0.62	-0.7	0.91	-0.14	1.13	0.17	1.34	0.42	Homo sapiens RAN guanine nucleotide release factor (RANGNRF), mRNA.	ILMN_5102	RANGNRF	
NM_001233	NaN	NaN	NaN	NaN	0.99	-0.02	1.41	0.5	Homo sapiens caveolin 2 (CAV2), transcript variant 1, mRNA.	ILMN_5108	CAV2	
NM_002817	NaN	NaN	1.05	0.07	1.34	0.43	1.41	0.5	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 13 (PSMD13), transcript variant 1, mRNA.	ILMN_5111	PSMD13	
NM_005111.5	NaN	NaN	NaN	NaN	0.89	-0.18	0.79	-0.35	Homo sapiens crystallin, zeta (quinone reductase)-like 1 (CRYZL1), transcript variant 1, mRNA.	ILMN_5113	CRYZL1	
NM_001694	1.3	0.37	1.18	0.24	0.91	-0.14	0.99	-0.02	Homo sapiens ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c (ATP6V0C), mRNA.	ILMN_512	ATP6V0C	
NM_005475	2.23	1.16	1.65	0.72	1.4	0.49	1.42	0.5	Homo sapiens lymphocyte adaptor protein (LNK), mRNA.	ILMN_5130	LNK	
NM_018186	NaN	NaN	NaN	NaN	1.22	0.28	1.72	0.79	Homo sapiens chromosome 1 open reading frame 112 (C1orf112), mRNA.	ILMN_5134	C1orf112	
NM_199362	0.73	-0.46	0.69	-0.54	1.28	0.36	1.12	0.16	Homo sapiens tumor protein D52-like 2 (TPD52L2), transcript variant 3, mRNA.	ILMN_514	TPD52L2	
NM_016237	0.89	-0.17	0.96	-0.05	0.82	-0.28	0.84	-0.24	Homo sapiens anaphase promoting complex subunit 5 (ANAPC5), mRNA.	ILMN_5146	ANAPC5	
NM_002710	1.1	0.14	1.09	0.12	1.24	0.32	1.14	0.19	Homo sapiens protein phosphatase 1, catalytic subunit, gamma isoform (PPP1CC), mRNA.	ILMN_5147	PPP1CC	
NM_138413	2.52	1.33	1.92	0.94	NaN	NaN	NaN	NaN	Homo sapiens chromosome 10 open reading frame 65 (C10orf65), mRNA.	ILMN_5150	C10orf65	
NM_016243	NaN	NaN	NaN	NaN	1.15	0.2	1.02	0.02	Homo sapiens cytochrome b5 reductase 1 (CYB5R1), mRNA.	ILMN_516	CYB5R1	
NM_012175	0.59	-0.76	0.57	-0.82	0.91	-0.14	0.78	-0.36	Homo sapiens F-box protein 3 (FBXO3), transcript variant 1, mRNA.	ILMN_5163	FBXO3	
NM_173485	NaN	NaN	1.02	0.03	0.71	-0.49	0.78	-0.35	Homo sapiens zinc finger protein 218 (ZNF218), mRNA.	ILMN_5174	ZNF218	
NM_020428	0.24	-2.07	0.4	-1.33	0.46	-1.12	0.33	-1.62	Homo sapiens solute carrier family 44, member 2 (SLC44A2), mRNA.	ILMN_5176	SLC44A2	
NM_014771	0.78	-0.36	0.92	-0.12	1.02	0.02	0.99	-0.02	Homo sapiens ring finger protein 40 (RNF40), transcript variant 1, mRNA.	ILMN_5177	RNF40	
NM_031934	0.95	-0.08	0.65	-0.62	0.44	-1.2	0.62	-0.68	Homo sapiens RAB34, member RAS oncogene family (RAB34), mRNA.	ILMN_5179	RAB34	
NM_001251	0.46	-1.12	0.8	-0.32	1.4	0.48	1.3	0.38	Homo sapiens CD68 antigen (CD68), mRNA.	ILMN_5188	CD68	
NM_006002	1.29	0.37	0.91	-0.13	0.93	-0.11	0.79	-0.34	Homo sapiens ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) (UCHL3), mRNA.	ILMN_5191	UCHL3	
NM_176895	0.16	-2.64	0.22	-2.16	1.05	0.07	0.98	-0.03	Homo sapiens phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 2, mRNA.	ILMN_5193	PPAP2A	
NM_000120	0.56	-0.84	0.69	-0.53	NaN	NaN	NaN	NaN	Homo sapiens epoxide hydrolase 1, microsomal (xenobiotic) (EPHX1), mRNA.	ILMN_5212	EPHX1	
NM_002178	0.54	-0.88	1.02	0.03	0.83	-0.27	0.47	-1.09	Homo sapiens insulin-like growth factor binding protein 6 (IGFBP6), mRNA.	ILMN_5216	IGFBP6	
NM_018182	2.22	1.15	2.77	1.47	NaN	NaN	NaN	NaN	Homo sapiens chromosome 17 open reading frame 63 (C17orf63), mRNA.	ILMN_5219	C17orf63	
NM_031412	0.78	-0.35	0.88	-0.19	1.53	0.61	1.5	0.58	Homo sapiens GABA(A) receptor-associated protein like 1 (GABARAPL1), mRNA.	ILMN_5224	GABARAPL1	
NM_001073	0.59	-0.77	0.59	-0.77	0.14	-2.88	0.09	-3.55	Homo sapiens UDP glucuronosyltransferase 2 family, polypeptide B11 (UGT2B11), mRNA.	ILMN_5225	UGT2B11	
NM_018246	1.06	0.09	1.06	0.08	1.03	0.04	0.34	-1.55	Homo sapiens coiled-coil domain containing 25 (CCDC25), transcript variant 2, mRNA.	ILMN_5229	CCDC25	
NM_024657	1.07	0.1	1.43	0.52	NaN	NaN	NaN	NaN	Homo sapiens MORC family CW-type zinc finger 4 (MORC4), mRNA.	ILMN_5233	MORC4	
NM_017719	0.85	-0.23	0.83	-0.27	1.79	0.84	2.47	1.31	Homo sapiens SNF related kinase (SNRK), mRNA.	ILMN_5234	SNRK	
NM_153756	1.4	0.49	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens fibronectin type III domain containing 5 (FNDC5), mRNA.	ILMN_5239	FNDC5	
NM_032326	0.66	-0.61	0.98	-0.02	0.78	-0.36	0.65	-0.62	Homo sapiens hypothetical protein MGC4618 (MGC4618), mRNA.	ILMN_5253	MGC4618	
NM_194247	2.04	1.03	1.48	0.56	1.33	0.41	1.22	0.29	Homo sapiens heterogeneous nuclear ribonucleoprotein A3 (HNRPA3), mRNA.	ILMN_5256	HNRPA3	
NM_016464	NaN	NaN	NaN	NaN	1	0	NaN	NaN	Homo sapiens hypothetical protein HSPC196 (HSPC196), mRNA.	ILMN_5258	HSPC196	
NM_007317	NaN	NaN	NaN	NaN	1.07	0.1	0.99	-0.01	Homo sapiens kinesin family member 22 (KIF22), mRNA.	ILMN_526	KIF22	
NM_181513	0.76	-0.39	0.79	-0.35	1.1	0.13	1.09	0.12	Homo sapiens mitochondrial ribosomal protein L21 (MRPL21), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	ILMN_5261	MRPL21	
NM_002488	0.65	-0.62	0.83	-0.28	0.88	-0.19	0.91	-0.13	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa (NDUFA2), mRNA.	ILMN_5263	NDUFA2	
NM_000443	0.49	-1.02	0.7	-0.5	0.68	-0.55	0.97	-0.04	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 4 (ABCB4), transcript variant A, mRNA.	ILMN_527	ABCB4	
NM_024622	NaN	NaN	NaN	NaN	2.66	1.41	2.59	1.37	Homo sapiens hypothetical protein FLJ21901 (FLJ21901), mRNA.	ILMN_5271	FLJ21901	
NM_021104	NaN	NaN	NaN	NaN	NaN	NaN	0.62	-0.69	Homo sapiens ribosomal protein L41 (RPL41), transcript variant 1, mRNA.	ILMN_5276	RPL41	
NM_207435	NaN	NaN	NaN	NaN	1.37	0.46	1.43	0.52	Homo sapiens FLJ40142 protein (FLJ40142), mRNA.	ILMN_5279	FLJ40142	
NM_006431	1.69	0.76	1.6	0.68	1.31	0.39	1.53	0.62	Homo sapiens chaperonin containing TCP1, subunit 2 (beta) (CCT2), mRNA.	ILMN_5281	CCT2	
NM_194460	1.3	0.38	0.92	-0.12	1.87	0.9	1.48	0.56	Homo sapiens ring finger protein 126 (RNF126), transcript variant 2, mRNA.	ILMN_5287	RNF126	
NM_002181	1.43	0.52	1.06	0.08	NaN	NaN	0.98	-0.02	Homo sapiens Indian hedgehog homolog (Drosophila) (IHH), mRNA.	ILMN_529	IHH	
NM_005080	1.57	0.65	1.64	0.71	1.17	0.23	1.35	0.44	Homo sapiens X-box binding protein 1 (XBP1), mRNA.	ILMN_5293	XBP1	
NR_001443	1.61	0.69	1.34	0.42	1.05	0.08	1.14	0.19	Homo sapiens keratin pseudogene (LOC339240) on chromosome 17.	ILMN_5302	LOC339240	
NM_173074	0.71	-0.5	0.74	-0.43	0.97	-0.05	1.02	0.03	Homo sapiens phosphatidylinositol glycan, class F (PIGF), transcript variant 2, mRNA.	ILMN_5303	PIGF	
NM_007202	1.03	0.04	0.84	-0.25	1.43	0.51	1.14	0.19	Homo sapiens A kinase (PRKA) anchor protein 10 (AKAP10), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_5307	AKAP10	
NM_003711	0.13	-2.95	0.15	-2.7	0.9	-0.15	0.85	-0.23	Homo sapiens phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.	ILMN_5309	PPAP2A	
NM_016371	0.82	-0.28	0.92	-0.12	0.82	-0.29	1.11	0.15	Homo sapiens hydroxysteroid (17-beta) dehydrogenase 7 (HSD17B7), mRNA.	ILMN_5318	HSD17B7	
NM_006074	1.89	0.92	2.38	1.25	1.55	0.64	1.84	0.88	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA.	ILMN_532	TRIM22	
NM_012446	1	0	1.18	0.24	1.01	0.01	0.86	-0.21	Homo sapiens single-stranded DNA binding protein 2 (SSBP2), mRNA.	ILMN_5320	SSBP2	
NM_001024024	2.47	1.31	2.39	1.26	1.02	0.02	1.47	0.55	Homo sapiens GTP cyclohydrolase 1 (dopa-responsive dystonia) (GCH1), transcript variant 2, mRNA.	ILMN_5325	GCH1	
NM_032188	1.17	0.22	1.18	0.24	1.05	0.07	1.11	0.15	Homo sapiens MYST histone acetyltransferase 1 (MYST1), mRNA.	ILMN_5326	MYST1	
NM_145039	0.5	-0.99	0.53	-0.91	0.63	-0.67	0.49	-1.04	Homo sapiens hypothetical protein MGC16385 (MGC16385), mRNA.	ILMN_5329	MGC16385	
NM_012321	0.88	-0.18	0.9	-0.15	1.25	0.32	1.23	0.3	Homo sapiens LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM4), mRNA.	ILMN_5332	LSM4	
NM_019843	0.87	-0.2	0.9	-0.16	0.83	-0.27	1.03	0.04	Homo sapiens eukaryotic translation initiation factor 4E nuclear import factor 1 (EIF4ENIF1), mRNA.	ILMN_5335	EIF4ENIF1	
NM_005781	0.6	-0.73	0.92	-0.12	NaN	NaN	1.45	0.54	Homo sapiens tyrosine kinase, non-receptor, 2 (TNK2), transcript variant 1, mRNA.	ILMN_5336	TNK2	
NM_012162	1.28	0.36	1.25	0.32	1	0	1.27	0.35	Homo sapiens F-box and leucine-rich repeat protein 6 (FBXL6), transcript variant 1, mRNA.	ILMN_5340	FBXL6	
NM_024660	0.7	-0.52	0.94	-0.09	1.04	0.05	0.72	-0.48	Homo sapiens U2(RNU2) small nuclear RNA auxiliary factor 1-like 4 (U2AF1L4), mRNA.	ILMN_5343	U2AF1L4	
NM_144981	0.55	-0.86	0.56	-0.83	0.79	-0.35	0.55	-0.87	Homo sapiens IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae) (IMMP1L), mRNA.	ILMN_5351	IMMP1L	
NM_133443	0.78	-0.36	0.59	-0.75	1.22	0.29	1.11	0.16	Homo sapiens glutamic pyruvate transaminase (alanine aminotransferase) 2 (GPT2), mRNA.	ILMN_5354	GPT2	
NM_153757	NaN	NaN	0.63	-0.67	1.25	0.32	1.19	0.25	Homo sapiens nucleosome assembly protein 1-like 5 (NAP1L5), mRNA.	ILMN_5355	NAP1L5	
NM_005505	0.71	-0.49	0.74	-0.43	1.67	0.74	1.56	0.64	Homo sapiens scavenger receptor class B, member 1 (SCARB1), mRNA.	ILMN_5375	SCARB1	
NM_052954	NaN	NaN	0.16	-2.65	1.12	0.16	0.91	-0.13	Homo sapiens cysteine/tyrosine-rich 1 (CYYR1), mRNA.	ILMN_5385	CYYR1	
NM_001706	2.59	1.38	3.31	1.73	NaN	NaN	NaN	NaN	Homo sapiens B-cell CLL/lymphoma 6 (zinc finger protein 51) (BCL6), transcript variant 1, mRNA.	ILMN_540	BCL6	
NM_002028	0.89	-0.16	0.99	-0.01	1.17	0.22	0.78	-0.36	Homo sapiens farnesyltransferase, CAAX box, beta (FNTB), mRNA.	ILMN_5407	FNTB	
NM_002827	3.1	1.63	2.8	1.49	1.39	0.48	1.65	0.72	Homo sapiens protein tyrosine phosphatase, non-receptor type 1 (PTPN1), mRNA.	ILMN_5417	PTPN1	
NM_017727	0.92	-0.12	0.95	-0.07	0.5	-1	0.44	-1.18	Homo sapiens hypothetical protein FLJ20254 (FLJ20254), mRNA.	ILMN_5418	FLJ20254	
NM_003135	1	0	0.97	-0.04	0.62	-0.69	0.53	-0.91	Homo sapiens signal recognition particle 19kDa (SRP19), mRNA.	ILMN_5419	SRP19	
NM_014880	0.69	-0.54	0.69	-0.55	0.45	-1.16	0.23	-2.12	Homo sapiens CD302 antigen (CD302), mRNA.	ILMN_5429	CD302	
NM_001514	2.86	1.52	2.65	1.41	0.9	-0.15	0.66	-0.6	Homo sapiens general transcription factor IIB (GTF2B), mRNA.	ILMN_544	GTF2B	
NM_201268	0.75	-0.42	0.64	-0.64	0.68	-0.56	0.71	-0.49	Homo sapiens membrane-bound transcription factor peptidase, site 1 (MBTPS1), transcript variant 2, mRNA.	ILMN_5443	MBTPS1	
NM_006285	0.73	-0.45	0.67	-0.59	0.77	-0.38	0.96	-0.05	Homo sapiens testis-specific kinase 1 (TESK1), mRNA.	ILMN_5444	TESK1	
NM_000140	0.22	-2.18	0.39	-1.34	0.61	-0.71	0.5	-1.01	Homo sapiens ferrochelatase (protoporphyria) (FECH), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	ILMN_5447	FECH	
NM_005985	4.33	2.11	3.93	1.97	2.1	1.07	3.48	1.8	Homo sapiens snail homolog 1 (Drosophila) (SNAI1), mRNA.	ILMN_5450	SNAI1	
NM_006330	0.31	-1.7	0.22	-2.18	0.9	-0.15	0.95	-0.07	Homo sapiens lysophospholipase I (LYPLA1), mRNA.	ILMN_5453	LYPLA1	
NM_000416	1.82	0.86	1.54	0.63	1.49	0.57	1.74	0.8	Homo sapiens interferon gamma receptor 1 (IFNGR1), mRNA.	ILMN_546	IFNGR1	
NM_020223	1.62	0.7	2.04	1.03	1.57	0.65	1.68	0.75	Homo sapiens family with sequence similarity 20, member C (FAM20C), mRNA.	ILMN_5460	FAM20C	
NM_015471	0.51	-0.97	0.43	-1.23	0.86	-0.22	0.89	-0.17	Homo sapiens chromosome 1 open reading frame 48 (C1orf48), mRNA.	ILMN_5466	C1orf48	
NM_002598	1.27	0.34	1.03	0.05	0.77	-0.38	0.88	-0.18	Homo sapiens programmed cell death 2 (PDCD2), transcript variant 1, mRNA.	ILMN_5469	PDCD2	
NM_015601	1.09	0.12	0.96	-0.06	1.33	0.41	2.46	1.3	Homo sapiens hect domain and RLD 4 (HERC4), transcript variant 2, mRNA.	ILMN_5477	HERC4	
NM_004175	0.66	-0.6	0.72	-0.48	0.59	-0.76	0.68	-0.56	Homo sapiens small nuclear ribonucleoprotein D3 polypeptide 18kDa (SNRPD3), mRNA.	ILMN_5480	SNRPD3	
NM_001008697	1.86	0.9	1.23	0.3	0.67	-0.58	0.73	-0.45	Homo sapiens tuftelin interacting protein 11 (TFIP11), transcript variant 1, mRNA.	ILMN_5509	TFIP11	
NM_001011537	1.17	0.22	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens forty-two-three domain containing 1 (FYTTD1), transcript variant 2, mRNA.	ILMN_5513	FYTTD1	
NM_003582	11.24	3.49	3.56	1.83	NaN	NaN	NaN	NaN	Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3 (DYRK3), transcript variant 1, mRNA.	ILMN_552	DYRK3	
NM_080841	0.83	-0.27	0.8	-0.33	1.07	0.1	1.03	0.04	Homo sapiens protein tyrosine phosphatase, receptor type, A (PTPRA), transcript variant 3, mRNA.	ILMN_5525	PTPRA	
NM_015565	1.02	0.03	0.83	-0.26	1.05	0.07	1.25	0.32	Homo sapiens zinc finger protein 294 (ZNF294), mRNA.	ILMN_5529	ZNF294	
NM_138786	2.28	1.19	2.2	1.14	3.45	1.79	6.9	2.79	Homo sapiens transmembrane 4 L six family member 18 (TM4SF18), mRNA.	ILMN_5533	TM4SF18	
NM_002227	2.7	1.43	1.83	0.87	1.75	0.81	1.96	0.97	Homo sapiens Janus kinase 1 (a protein tyrosine kinase) (JAK1), mRNA.	ILMN_554	JAK1	
NM_001304	2.72	1.44	1.29	0.37	0.74	-0.44	0.79	-0.34	Homo sapiens carboxypeptidase D (CPD), mRNA.	ILMN_5541	CPD	
NM_178505	1.29	0.36	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens transmembrane protein 26 (TMEM26), mRNA.	ILMN_5542	TMEM26	
NM_001003396	0.62	-0.69	0.84	-0.26	0.82	-0.29	0.72	-0.47	Homo sapiens tumor protein D52-like 1 (TPD52L1), transcript variant 3, mRNA.	ILMN_5543	TPD52L1	
NM_207195	1.11	0.15	1.14	0.19	1.99	0.99	1.93	0.95	Homo sapiens ADAM metallopeptidase domain 15 (metargidin) (ADAM15), transcript variant 4, mRNA.	ILMN_5544	ADAM15	
NM_000567	1.09	0.13	1.06	0.09	1.04	0.06	1	0	Homo sapiens C-reactive protein, pentraxin-related (CRP), mRNA.	ILMN_5545	CRP	
NM_003587	0.84	-0.25	0.97	-0.05	0.76	-0.4	0.81	-0.3	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 16 (DHX16), mRNA.	ILMN_5547	DHX16	
NM_001660	1.23	0.3	1.01	0.01	0.76	-0.4	0.69	-0.54	Homo sapiens ADP-ribosylation factor 4 (ARF4), mRNA.	ILMN_5548	ARF4	
NM_022551	0.79	-0.35	0.64	-0.65	1.04	0.06	1.1	0.13	Homo sapiens ribosomal protein S18 (RPS18), mRNA.	ILMN_5550	RPS18	
NM_177436	1.12	0.17	1.02	0.03	1.59	0.67	1.75	0.81	Homo sapiens CSE1 chromosome segregation 1-like (yeast) (CSE1L), transcript variant 2, mRNA.	ILMN_5554	CSE1L	
NM_021190	0.93	-0.11	0.79	-0.34	1.35	0.43	1.15	0.2	Homo sapiens polypyrimidine tract binding protein 2 (PTBP2), mRNA.	ILMN_556	PTBP2	
NM_004725	1.24	0.31	0.98	-0.03	1.08	0.12	1.3	0.38	Homo sapiens BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast) (BUB3), transcript variant 1, mRNA.	ILMN_5562	BUB3	
NM_001745	1.06	0.09	1.06	0.09	1.21	0.27	1.19	0.25	Homo sapiens calcium modulating ligand (CAMLG), mRNA.	ILMN_5563	CAMLG	
NM_004139	0.86	-0.22	1.26	0.33	0.93	-0.11	1.18	0.23	Homo sapiens lipopolysaccharide binding protein (LBP), mRNA.	ILMN_5568	LBP	
NM_201274	3.19	1.67	2.69	1.43	1.56	0.64	1.53	0.61	Homo sapiens myosin phosphatase-Rho interacting protein (M-RIP), transcript variant 2, mRNA.	ILMN_557	M-RIP	
NM_199141	1.13	0.18	1.1	0.14	0.85	-0.24	0.6	-0.74	Homo sapiens coactivator-associated arginine methyltransferase 1 (CARM1), mRNA.	ILMN_5570	CARM1	
